bommie_number,siteCode,siteNumber,date,startTime,endTime,site,lat_start,lon_start,lat_end,lon_end,x_coord,y_coord,live_coral_total,dead_coral_total,turf_total,macroalgae_total,rock_total,invertebrate_total,number_total_points,proportion_live_coral,proportion_dead_coral,proportion_turf,proportion_macroalgae,proportion_rock,proportion_invertebrate,final_coralSpecies,depth,height,length,width,circumference,depth_to_benthos,L_onLive,L_onDead,D_liveOnLive,D_liveOnDead,D_deadOnLive,D_deadOnDead,tridacna,spirobranchus,total_L,total_live_D,total_D,density_L_onLive,density_L_onDead,density_D_liveOnLive,density_D_liveOnDead,density_D_deadOnLive,density_D_deadOnDead,density_tridacna,density_spirobranchus,density_total_L,density_total_live_D,density_total_D,percent_N_jan,percent_N_may,percent_N_aug,jan_d15,may_d15,aug_d15,NHW_speed,NLW_speed,ELW_speed,avg_speed,NHW_speed_offshore,NLW_speed_offshore,ELW_speed_offshore,avg_speed_offshore,distanceOutBay,L_onLive_diameter_1,L_onLive_diameter_2,L_onLive_diameter_3,L_onLive_diameter_4,avg_L_onLive_diameter,max_L_onLive_diameter,min_L_onLive_diameter,L_onDead_diameter_1,L_onDead_diameter_2,L_onDead_diameter_3,L_onDead_diameter_4,avg_L_onDead_diameter,max_L_onDead_diameter,min_L_onDead_diameter,D_onLive_diameter_1,D_onLive_diameter_2,D_onLive_diameter_3,D_onLive_diameter_4,avg_D_onLive_diameter,max_D_onLive_diameter,min_D_onLive_diameter,D_onDead_diameter_1,D_onDead_diameter_2,D_onDead_diameter_3,D_onDead_diameter_4,avg_D_onDead_diameter,max_D_onDead_diameter,min_D_onDead_diameter,notes,collector1,collector2,collector3
20,MOB,2,17_may_2024,8:40,11:00,Middle Opunohu Bay,-17.499788,-149.85391,-17.499374,-149.85371,38,8,13,5,0,0,0,0,18,0.722,0.278,0.000,0.000,0.000,0.000,Porites lobata,80,26,23,21,66,106,4,0,0,0,0,0,0,0,4,0,0,19.692,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.222,0.000,0.000,0.474,0.591,0.483,4.157,4.633,3.734,0.038570,0.017273,0.013640,0.026162,0.046931,0.020931,0.016024,0.031664,-892,4.5,4.0,5.5,4.4,4.6,5.5,4.0,,,,,,,,,,,,,,,,,,,,,,,Ellie Fox,Zoe Fu-Chen,
1,OOB,3,03_may_2024,08:50,10:55,Outer Opunohu Bay,-17.492124,-149.851449,-17.491744,-149.851259,1,-3,0,0,7,8,0,0,15,0.000,0.000,0.467,0.533,0.000,0.000,Porites lobata,137,29,34,27,74,166,0,27,0,0,0,0,0,0,27,0,0,,115.200,,0.000,,0.000,0.000,0.000,115.200,0.000,0.000,0.547,0.574,0.417,3.453,3.881,3.412,0.163032,0.075173,0.022713,0.102473,0.428453,0.128761,0.036651,0.243592,352,,,,,,,,5.3,3.6,5.3,3.1,4.325,5.3,3.1,,,,,,,,,,,,,,,,Natalie Loftus,Ethan Kahn,
2,OOB,3,03_may_2024,08:50,10:55,Outer Opunohu Bay,-17.492124,-149.851449,-17.491744,-149.851259,11,1,1,0,11,4,0,0,16,0.063,0.000,0.688,0.250,0.000,0.000,Porites lobata,119,27,44,43,133,146,0,1,0,0,0,1,0,0,1,0,1,0.000,4.267,0.000,0.000,0.000,4.267,0.000,0.000,4.000,0.000,4.000,0.547,0.574,0.417,3.453,3.881,3.412,0.163032,0.075173,0.022713,0.102473,0.428453,0.128761,0.036651,0.243592,352,,,,,,,,4.2,,,,4.2,4.2,4.2,,,,,,,,,,,,,,,,Natalie Loftus,Ethan Kahn,
3,OOB,3,03_may_2024,08:50,10:55,Outer Opunohu Bay,-17.492124,-149.851449,-17.491744,-149.851259,17,-3,11,0,8,41,0,0,60,0.183,0.000,0.133,0.683,0.000,0.000,Porites lobata,88,47,71,54,161,135,0,2,0,1,0,9,0,0,2,1,10,0.000,2.612,0.000,1.306,0.000,11.755,0.000,0.000,2.133,1.067,10.667,0.547,0.574,0.417,3.453,3.881,3.412,0.163032,0.075173,0.022713,0.102473,0.428453,0.128761,0.036651,0.243592,352,,,,,,,,5.8,4.6,,,5.2,5.8,4.6,,,,,,,,2.5,,,,2.5,2.5,2.5,,Natalie Loftus,Ethan Kahn,
4,OOB,3,03_may_2024,08:50,10:55,Outer Opunohu Bay,-17.492124,-149.851449,-17.491744,-149.851259,18,-8,14,0,75,46,0,0,135,0.104,0.000,0.556,0.341,0.000,0.000,Porites lobata,63,75,95,90,231,138,6,10,0,0,1,10,0,0,16,0,11,27.429,5.289,0.000,0.000,4.571,5.289,0.000,0.000,7.585,0.000,5.215,0.547,0.574,0.417,3.453,3.881,3.412,0.163032,0.075173,0.022713,0.102473,0.428453,0.128761,0.036651,0.243592,352,0.7,2.5,0.8,1.4,1.35,2.5,0.7,5.8,4.2,5.2,1.9,4.275,5.8,1.9,,,,,,,,,,,,,,,,Natalie Loftus,Ethan Kahn,
5,OOB,3,03_may_2024,08:50,10:55,Outer Opunohu Bay,-17.492124,-149.851449,-17.491744,-149.851259,22,-9,0,5,0,0,0,0,5,0.000,1.000,0.000,0.000,0.000,0.000,Porites lobata,98,26,33,28,72,124,0,0,0,0,0,0,0,0,0,0,0,,0.000,,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.547,0.574,0.417,3.453,3.881,3.412,0.163032,0.075173,0.022713,0.102473,0.428453,0.128761,0.036651,0.243592,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natalie Loftus,Ethan Kahn,
6,OOB,3,03_may_2024,08:50,10:55,Outer Opunohu Bay,-17.492124,-149.851449,-17.491744,-149.851259,24,-5,1,1,18,5,0,0,25,0.040,0.040,0.720,0.200,0.000,0.000,Porites lobata,106,33,50,44,120,139,1,2,0,0,0,10,1,0,3,0,10,64.000,5.333,0.000,0.000,0.000,26.667,2.560,0.000,7.680,0.000,25.600,0.547,0.574,0.417,3.453,3.881,3.412,0.163032,0.075173,0.022713,0.102473,0.428453,0.128761,0.036651,0.243592,352,0.7,,,,0.7,0.7,0.7,1.3,5.3,,,3.3,5.3,1.3,,,,,,,,,,,,,,,,Natalie Loftus,Ethan Kahn,
7,OOB,3,03_may_2024,08:50,10:55,Outer Opunohu Bay,-17.492124,-149.851449,-17.491744,-149.851259,33,-4,34,0,8,0,0,0,42,0.810,0.000,0.190,0.000,0.000,0.000,Porites lobata,106,38,49,44,141,144,50,1,6,3,0,2,1,0,51,9,11,94.118,8.000,11.294,24.000,0.000,16.000,1.524,0.000,77.714,13.714,16.762,0.547,0.574,0.417,3.453,3.881,3.412,0.163032,0.075173,0.022713,0.102473,0.428453,0.128761,0.036651,0.243592,352,1.4,1.4,0.8,1.4,1.25,1.4,0.8,4.2,,,,4.2,4.2,4.2,1.4,2.5,3,2,2.225,3,1.4,2.4,3.1,2.1,,2.533333333,3.1,2.1,,Natalie Loftus,Ethan Kahn,
8,OOB,3,03_may_2024,08:50,10:55,Outer Opunohu Bay,-17.492124,-149.851449,-17.491744,-149.851259,42,-3,0,0,3,3,0,0,6,0.000,0.000,0.500,0.500,0.000,0.000,Porites lobata,131,21,28,22,74,152,0,4,0,0,0,0,0,0,4,0,0,,42.667,,0.000,,0.000,0.000,0.000,42.667,0.000,0.000,0.547,0.574,0.417,3.453,3.881,3.412,0.163032,0.075173,0.022713,0.102473,0.428453,0.128761,0.036651,0.243592,352,,,,,,,,3,3.7,5.3,5.2,4.3,5.3,3,,,,,,,,,,,,,,,,Natalie Loftus,Ethan Kahn,
9,OOB,3,03_may_2024,08:50,10:55,Outer Opunohu Bay,-17.492124,-149.851449,-17.491744,-149.851259,46,-7,3,1,78,18,0,0,100,0.030,0.010,0.780,0.180,0.000,0.000,Porites lobata,87,60,78,74,227,147,3,15,0,0,0,5,0,0,18,0,5,64.000,9.897,0.000,0.000,0.000,3.299,0.000,0.000,11.520,0.000,3.200,0.547,0.574,0.417,3.453,3.881,3.412,0.163032,0.075173,0.022713,0.102473,0.428453,0.128761,0.036651,0.243592,352,0.3,0.8,0.3,,0.4666666667,0.8,0.3,4.2,5.8,4.7,3.6,4.575,5.8,3.6,,,,,,,,,,,,,,,,Natalie Loftus,Ethan Kahn,
10,OOB,3,03_may_2024,08:50,10:55,Outer Opunohu Bay,-17.492124,-149.851449,-17.491744,-149.851259,48,-3,0,0,133,19,0,1,153,0.000,0.000,0.869,0.124,0.000,0.007,Porites lobata,63,94,107,72,297,157,0,33,0,0,0,20,1,0,33,0,20,,13.804,,0.000,,8.366,0.418,0.000,13.804,0.000,8.366,0.547,0.574,0.417,3.453,3.881,3.412,0.163032,0.075173,0.022713,0.102473,0.428453,0.128761,0.036651,0.243592,352,,,,,,,,1.4,5.3,3.1,1.4,2.8,5.3,1.4,,,,,,,,,,,,,,,,Natalie Loftus,Ethan Kahn,
11,OOB,3,03_may_2024,08:50,10:55,Outer Opunohu Bay,-17.492124,-149.851449,-17.491744,-149.851259,2,9,2,46,0,5,0,0,53,0.038,0.868,0.000,0.094,0.000,0.000,Porites lobata,142,69,67,44,176,211,0,18,0,0,0,0,0,0,18,0,0,0.000,22.588,0.000,0.000,0.000,0.000,0.000,0.000,21.736,0.000,0.000,0.547,0.574,0.417,3.453,3.881,3.412,0.163032,0.075173,0.022713,0.102473,0.428453,0.128761,0.036651,0.243592,352,,,,,,,,6.0,6.2,6.4,5.0,5.9,6.4,5.0,,,,,,,,,,,,,,,16 holes (not Dendropoma),Zoe Fu-Chen,Ellie Fox,
12,OOB,3,03_may_2024,08:50,10:55,Outer Opunohu Bay,-17.492124,-149.851449,-17.491744,-149.851259,6,7,0,24,0,23,0,0,47,0.000,0.511,0.000,0.489,0.000,0.000,Porites lobata,200,62,45,40,114,262,0,21,0,1,0,9,0,0,21,1,10,,28.596,,1.362,,12.255,0.000,0.000,28.596,1.362,13.617,0.547,0.574,0.417,3.453,3.881,3.412,0.163032,0.075173,0.022713,0.102473,0.428453,0.128761,0.036651,0.243592,352,,,,,,,,6.1,7.1,5.1,7.1,6.4,7.1,5.1,,,,,,,,5.0,,,,5.0,5.0,5.0,,Zoe Fu-Chen,Ellie Fox,
13,OOB,3,03_may_2024,08:50,10:55,Outer Opunohu Bay,-17.492124,-149.851449,-17.491744,-149.851259,9,9,1,10,33,0,0,0,44,0.023,0.227,0.750,0.000,0.000,0.000,Porites lobata,352,44,52,43,166,396,7,53,0,0,0,3,0,0,60,0,3,448.000,78.884,0.000,0.000,0.000,4.465,0.000,0.000,87.273,0.000,4.364,0.547,0.574,0.417,3.453,3.881,3.412,0.163032,0.075173,0.022713,0.102473,0.428453,0.128761,0.036651,0.243592,352,4.1,3.3,2.2,1.9,2.875,4.1,1.9,7.0,6.3,7.0,6.0,6.6,7.0,6.0,,,,,,,,,,,,,,,,Zoe Fu-Chen,Ellie Fox,
14,OOB,3,03_may_2024,08:50,10:55,Outer Opunohu Bay,-17.492124,-149.851449,-17.491744,-149.851259,11,4,1,11,30,23,0,0,65,0.015,0.169,0.462,0.354,0.000,0.000,Porites lobata,112,43,51,44,151,155,0,8,0,0,0,0,0,0,8,0,0,0.000,8.000,0.000,0.000,0.000,0.000,0.000,0.000,7.877,0.000,0.000,0.547,0.574,0.417,3.453,3.881,3.412,0.163032,0.075173,0.022713,0.102473,0.428453,0.128761,0.036651,0.243592,352,,,,,,,,7.0,7.0,4.2,6.1,6.1,7.0,4.2,,,,,,,,,,,,,,,,Zoe Fu-Chen,Ellie Fox,
15,OOB,3,03_may_2024,08:50,10:55,Outer Opunohu Bay,-17.492124,-149.851449,-17.491744,-149.851259,20,6,7,56,0,2,0,0,65,0.108,0.862,0.000,0.031,0.000,0.000,Porites lobata,193,60,75,54,213,253,0,37,0,0,0,8,0,0,37,0,8,0.000,40.828,0.000,0.000,0.000,8.828,0.000,0.000,36.431,0.000,7.877,0.547,0.574,0.417,3.453,3.881,3.412,0.163032,0.075173,0.022713,0.102473,0.428453,0.128761,0.036651,0.243592,352,,,,,,,,5.0,4.9,7.0,6.9,6.0,7.0,4.9,,,,,,,,,,,,,,,1 dead Tridacna,Zoe Fu-Chen,Ellie Fox,
16,OOB,3,03_may_2024,08:50,10:55,Outer Opunohu Bay,-17.492124,-149.851449,-17.491744,-149.851259,22,3,0,7,28,11,0,0,46,0.000,0.152,0.609,0.239,0.000,0.000,Porites lobata,130,41,65,60,186,171,0,19,0,0,0,3,0,0,19,0,3,,26.435,,0.000,,4.174,0.000,0.000,26.435,0.000,4.174,0.547,0.574,0.417,3.453,3.881,3.412,0.163032,0.075173,0.022713,0.102473,0.428453,0.128761,0.036651,0.243592,352,,,,,,,,5.5,5.6,5.6,5.0,5.4,5.6,5.0,,,,,,,,,,,,,,,,Zoe Fu-Chen,Ellie Fox,
17,OOB,3,03_may_2024,08:50,10:55,Outer Opunohu Bay,-17.492124,-149.851449,-17.491744,-149.851259,36,4,1,56,0,1,0,0,58,0.017,0.966,0.000,0.017,0.000,0.000,Porites lobata,139,59,70,54,209,198,7,54,0,1,0,9,0,0,61,1,10,448.000,60.632,0.000,1.123,0.000,10.105,0.000,0.000,67.310,1.103,11.034,0.547,0.574,0.417,3.453,3.881,3.412,0.163032,0.075173,0.022713,0.102473,0.428453,0.128761,0.036651,0.243592,352,7.1,7.1,8.1,5.1,6.85,8.1,5.1,2.4,4.1,3.5,4.5,3.6,4.5,2.4,,,,,,,,3.0,,,,3.0,3.0,3.0,,Zoe Fu-Chen,Ellie Fox,
18,OOB,3,03_may_2024,08:50,10:55,Outer Opunohu Bay,-17.492124,-149.851449,-17.491744,-149.851259,38,7,0,8,0,9,0,0,17,0.000,0.471,0.000,0.529,0.000,0.000,Porites lobata,201,27,23,21,63,228,0,21,0,0,0,1,0,0,21,0,1,,79.059,,0.000,,3.765,0.000,0.000,79.059,0.000,3.765,0.547,0.574,0.417,3.453,3.881,3.412,0.163032,0.075173,0.022713,0.102473,0.428453,0.128761,0.036651,0.243592,352,,,,,,,,7.1,4.6,5.4,5.5,5.7,7.1,4.6,,,,,,,,,,,,,,,,Zoe Fu-Chen,Ellie Fox,
19,OOB,3,03_may_2024,08:50,10:55,Outer Opunohu Bay,-17.492124,-149.851449,-17.491744,-149.851259,43,4,0,20,0,12,0,0,32,0.000,0.625,0.000,0.375,0.000,0.000,Porites lobata,140,44,46,37,139,184,7,18,0,0,0,8,0,0,25,0,8,,36.000,,0.000,,16.000,0.000,0.000,50.000,0.000,16.000,0.547,0.574,0.417,3.453,3.881,3.412,0.163032,0.075173,0.022713,0.102473,0.428453,0.128761,0.036651,0.243592,352,4.0,4.0,2.0,2.4,3.1,4.0,2.0,5.3,5.9,6.1,7.1,6.1,7.1,5.3,,,,,,,,,,,,,,,,Zoe Fu-Chen,Ellie Fox,
20,OOB,3,03_may_2024,08:50,10:55,Outer Opunohu Bay,-17.492124,-149.851449,-17.491744,-149.851259,43,10,0,32,0,7,0,0,39,0.000,0.821,0.000,0.179,0.000,0.000,Porites lobata,156,50,47,45,144,206,0,48,0,0,0,6,0,0,48,0,6,,78.769,,0.000,,9.846,0.000,0.000,78.769,0.000,9.846,0.547,0.574,0.417,3.453,3.881,3.412,0.163032,0.075173,0.022713,0.102473,0.428453,0.128761,0.036651,0.243592,352,,,,,,,,6.1,5.5,7.0,6.1,6.2,7.0,5.5,,,,,,,,,,,,,,,,Zoe Fu-Chen,Ellie Fox,
1,BCB,4,12_may_2024,14:40,16:30,Back Cook's Bay,-17.503769,-149.819111,-17.502995,-149.818688,1,-2,0,0,6,6,0,0,12,0.000,0.000,0.500,0.500,0.000,0.000,Porites lobata,143,23,34,24,73,166,0,0,0,0,0,1,0,0,0,0,1,,0.000,,0.000,,5.333,0.000,0.000,0.000,0.000,5.333,0.460,0.585,0.560,4.298,5.270,4.578,0.009964,0.002335,0.001487,0.005632,0.011444,0.001513,0.003489,0.006575,-2102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive y-coordinate,Ethan Kahn,Zoe Fu-Chen,
2,BCB,4,12_may_2024,14:40,16:30,Back Cook's Bay,-17.503769,-149.819111,-17.502995,-149.818688,8,-5,3,10,0,1,0,0,14,0.214,0.714,0.000,0.071,0.000,0.000,Porites lobata,169,42,54,52,137,211,39,0,0,0,0,0,0,0,39,0,0,832.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,178.286,0.000,0.000,0.460,0.585,0.560,4.298,5.270,4.578,0.009964,0.002335,0.001487,0.005632,0.011444,0.001513,0.003489,0.006575,-2102,3.0,2.5,3.6,2.7,3.0,3.6,2.5,,,,,,,,,,,,,,,,,,,,,,y: +3,Ethan Kahn,Zoe Fu-Chen,
3,BCB,4,12_may_2024,14:40,16:30,Back Cook's Bay,-17.503769,-149.819111,-17.502995,-149.818688,11,-1,0,4,4,3,0,0,11,0.000,0.364,0.364,0.273,0.000,0.000,Porites lobata,160,43,44,34,116,203,0,0,0,0,0,4,0,0,0,0,4,,0.000,,0.000,,23.273,0.000,0.000,0.000,0.000,23.273,0.460,0.585,0.560,4.298,5.270,4.578,0.009964,0.002335,0.001487,0.005632,0.011444,0.001513,0.003489,0.006575,-2102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethan Kahn,Zoe Fu-Chen,
4,BCB,4,12_may_2024,14:40,16:30,Back Cook's Bay,-17.503769,-149.819111,-17.502995,-149.818688,45,-3,26,3,0,0,0,0,29,0.897,0.103,0.000,0.000,0.000,0.000,Porites lobata,158,40,45,37,108,198,15,7,0,0,0,0,0,0,22,0,0,36.923,149.333,0.000,0.000,0.000,0.000,0.000,0.000,48.552,0.000,0.000,0.460,0.585,0.560,4.298,5.270,4.578,0.009964,0.002335,0.001487,0.005632,0.011444,0.001513,0.003489,0.006575,-2102,4.0,6.0,1.4,4.0,3.9,6.0,1.4,2.2,4.5,4.4,3.4,3.625,4.5,2.2,,,,,,,,,,,,,,,positive y-coordinate,Ethan Kahn,Zoe Fu-Chen,
5,BCB,4,12_may_2024,14:40,16:30,Back Cook's Bay,-17.503769,-149.819111,-17.502995,-149.818688,48,-4,0,0,4,0,0,0,4,0.000,0.000,1.000,0.000,0.000,0.000,Porites lobata,140,19,30,18,62,159,1,1,0,0,0,2,0,0,2,0,2,,16.000,,0.000,,32.000,0.000,0.000,32.000,0.000,32.000,0.460,0.585,0.560,4.298,5.270,4.578,0.009964,0.002335,0.001487,0.005632,0.011444,0.001513,0.003489,0.006575,-2102,3.0,,,,3.0,3.0,3.0,4.7,,,,4.7,4.7,4.7,,,,,,,,,,,,,,,,Ethan Kahn,Zoe Fu-Chen,
6,BCB,4,12_may_2024,14:40,16:30,Back Cook's Bay,-17.503769,-149.819111,-17.502995,-149.818688,62,-3,0,4,0,0,0,0,4,0.000,1.000,0.000,0.000,0.000,0.000,Porites lobata,168,25,20,20,56,193,0,0,0,0,0,5,0,0,0,0,5,,0.000,,0.000,,80.000,0.000,0.000,0.000,0.000,80.000,0.460,0.585,0.560,4.298,5.270,4.578,0.009964,0.002335,0.001487,0.005632,0.011444,0.001513,0.003489,0.006575,-2102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive y-coordinate; 5 really large circular boreholes ~8.5mm,Ethan Kahn,Zoe Fu-Chen,
7,BCB,4,12_may_2024,14:40,16:30,Back Cook's Bay,-17.503769,-149.819111,-17.502995,-149.818688,89,-5,1,1,0,1,0,0,3,0.333,0.333,0.000,0.333,0.000,0.000,Porites lobata,170,21,36,16,79,191,14,0,0,0,0,0,0,0,14,0,0,896.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,298.667,0.000,0.000,0.460,0.585,0.560,4.298,5.270,4.578,0.009964,0.002335,0.001487,0.005632,0.011444,0.001513,0.003489,0.006575,-2102,3.4,2.2,1.6,2.0,2.3,3.4,1.6,,,,,,,,,,,,,,,,,,,,,,positive y-coordinate,Ethan Kahn,Zoe Fu-Chen,
8,BCB,4,12_may_2024,14:40,16:30,Back Cook's Bay,-17.503769,-149.819111,-17.502995,-149.818688,94,-1,3,1,0,1,0,0,5,0.600,0.200,0.000,0.200,0.000,0.000,Porites lobata,177,24,24,21,57,201,2,0,0,0,0,0,0,0,2,0,0,42.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25.600,0.000,0.000,0.460,0.585,0.560,4.298,5.270,4.578,0.009964,0.002335,0.001487,0.005632,0.011444,0.001513,0.003489,0.006575,-2102,4.5,4.0,,,4.3,4.5,4.0,,,,,,,,,,,,,,,,,,,,,,,Ethan Kahn,Zoe Fu-Chen,
9,BCB,4,12_may_2024,14:40,16:30,Back Cook's Bay,-17.503769,-149.819111,-17.502995,-149.818688,95,-1,3,0,0,3,0,0,6,0.500,0.000,0.000,0.500,0.000,0.000,Porites lobata,189,26,22,16,47,215,16,1,0,0,0,0,0,0,17,0,0,341.333,21.333,0.000,0.000,0.000,0.000,0.000,0.000,181.333,0.000,0.000,0.460,0.585,0.560,4.298,5.270,4.578,0.009964,0.002335,0.001487,0.005632,0.011444,0.001513,0.003489,0.006575,-2102,2.0,2.0,4.0,2.0,2.5,4.0,2.0,3,,,,3,3,3,,,,,,,,,,,,,,,positive y-coordinate,Ethan Kahn,Zoe Fu-Chen,
10,BCB,4,12_may_2024,14:40,16:30,Back Cook's Bay,-17.503769,-149.819111,-17.502995,-149.818688,100,-2,16,0,0,4,0,0,20,0.800,0.000,0.000,0.200,0.000,0.000,Porites lobata,176,47,48,21,94,223,89,0,0,0,0,0,0,0,89,0,0,356.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,284.800,0.000,0.000,0.460,0.585,0.560,4.298,5.270,4.578,0.009964,0.002335,0.001487,0.005632,0.011444,0.001513,0.003489,0.006575,-2102,3.0,4.0,5.0,2.1,3.5,5.0,2.1,,,,,,,,,,,,,,,,,,,,,,positive y-coordinate,Ethan Kahn,Zoe Fu-Chen,
11,BCB,4,12_may_2024,14:40,16:30,Back Cook's Bay,-17.503769,-149.819111,-17.502995,-149.818688,8,5,6,0,0,0,0,0,6,1.000,0.000,0.000,0.000,0.000,0.000,Porites lobata,283,14,42,30,102,297,110,0,0,0,10,0,0,0,110,0,10,1173.333,,0.000,,106.667,,0.000,0.000,1173.333,0.000,106.667,0.460,0.585,0.560,4.298,5.270,4.578,0.009964,0.002335,0.001487,0.005632,0.011444,0.001513,0.003489,0.006575,-2102,2.0,0.7,1.4,1.5,1.4,2.0,0.7,,,,,,,,,,,,,,,,,,,,,,,Ellie Fox,Natalie Loftus,
12,BCB,4,12_may_2024,14:40,16:30,Back Cook's Bay,-17.503769,-149.819111,-17.502995,-149.818688,11,2,13,1,0,0,0,0,14,0.929,0.071,0.000,0.000,0.000,0.000,Porites lobata,180,24,39,31,106,204,14,0,0,0,0,0,0,0,14,0,0,68.923,0.000,0.000,0.000,0.000,0.000,0.000,0.000,64.000,0.000,0.000,0.460,0.585,0.560,4.298,5.270,4.578,0.009964,0.002335,0.001487,0.005632,0.011444,0.001513,0.003489,0.006575,-2102,0.7,0.4,0.2,2.0,0.8,2.0,0.2,,,,,,,,,,,,,,,,,,,,,,,Ellie Fox,Natalie Loftus,
13,BCB,4,12_may_2024,14:40,16:30,Back Cook's Bay,-17.503769,-149.819111,-17.502995,-149.818688,38,4,8,0,0,2,0,0,10,0.800,0.000,0.000,0.200,0.000,0.000,Porites lobata,303,17,36,15,89,320,120,0,0,0,0,0,0,0,120,0,0,960.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,768.000,0.000,0.000,0.460,0.585,0.560,4.298,5.270,4.578,0.009964,0.002335,0.001487,0.005632,0.011444,0.001513,0.003489,0.006575,-2102,0.2,0.8,0.3,1.4,0.7,1.4,0.2,,,,,,,,,,,,,,,,,,,,,,,Ellie Fox,Natalie Loftus,
14,BCB,4,12_may_2024,14:40,16:30,Back Cook's Bay,-17.503769,-149.819111,-17.502995,-149.818688,43,0,18,4,0,1,0,0,23,0.783,0.174,0.000,0.043,0.000,0.000,Porites lobata,174,27,35,25,99,201,92,18,0,0,0,0,0,0,110,0,0,327.111,230.400,0.000,0.000,0.000,0.000,0.000,0.000,306.087,0.000,0.000,0.460,0.585,0.560,4.298,5.270,4.578,0.009964,0.002335,0.001487,0.005632,0.011444,0.001513,0.003489,0.006575,-2102,1.5,1.4,2.1,2.0,1.8,2.1,1.4,0.9,1.9,1.3,0.9,1.3,1.9,0.9,,,,,,,,,,,,,,,,Ellie Fox,Natalie Loftus,
15,BCB,4,12_may_2024,14:40,16:30,Back Cook's Bay,-17.503769,-149.819111,-17.502995,-149.818688,48,0,9,0,0,0,0,0,9,1.000,0.000,0.000,0.000,0.000,0.000,Porites lobata,186,17,25,20,65,203,150,0,0,0,0,0,0,0,150,0,0,1066.667,,0.000,,0.000,,0.000,0.000,1066.667,0.000,0.000,0.460,0.585,0.560,4.298,5.270,4.578,0.009964,0.002335,0.001487,0.005632,0.011444,0.001513,0.003489,0.006575,-2102,2.1,1.4,0.7,1.9,1.5,2.1,0.7,,,,,,,,,,,,,,,,,,,,,,,Ellie Fox,Natalie Loftus,
16,BCB,4,12_may_2024,14:40,16:30,Back Cook's Bay,-17.503769,-149.819111,-17.502995,-149.818688,48,3,4,0,0,1,0,0,5,0.800,0.000,0.000,0.200,0.000,0.000,Porites lobata,278,17,18,17,57,295,50,0,0,0,0,0,0,0,50,0,0,800.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,640.000,0.000,0.000,0.460,0.585,0.560,4.298,5.270,4.578,0.009964,0.002335,0.001487,0.005632,0.011444,0.001513,0.003489,0.006575,-2102,0.8,2.0,1.4,0.3,1.1,2.0,0.3,,,,,,,,,,,,,,,,,,,,,,,Ellie Fox,Natalie Loftus,
17,BCB,4,12_may_2024,14:40,16:30,Back Cook's Bay,-17.503769,-149.819111,-17.502995,-149.818688,66,1,13,0,0,0,0,0,13,1.000,0.000,0.000,0.000,0.000,0.000,Porites lobata,198,21,34,25,82,219,100,0,0,0,0,0,0,0,100,0,0,492.308,,0.000,,0.000,,0.000,0.000,492.308,0.000,0.000,0.460,0.585,0.560,4.298,5.270,4.578,0.009964,0.002335,0.001487,0.005632,0.011444,0.001513,0.003489,0.006575,-2102,0.2,1.5,1.4,1.4,1.1,1.5,0.2,,,,,,,,,,,,,,,,,,,,,,,Ellie Fox,Natalie Loftus,
18,BCB,4,12_may_2024,14:40,16:30,Back Cook's Bay,-17.503769,-149.819111,-17.502995,-149.818688,75,0,1,5,0,1,0,0,7,0.143,0.714,0.000,0.143,0.000,0.000,Porites lobata,155,16,26,24,77,171,7,0,0,0,0,3,0,0,7,0,3,448.000,0.000,0.000,0.000,0.000,32.000,0.000,0.000,64.000,0.000,27.429,0.460,0.585,0.560,4.298,5.270,4.578,0.009964,0.002335,0.001487,0.005632,0.011444,0.001513,0.003489,0.006575,-2102,0.3,0.2,0.2,0.2,0.2,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,Ellie Fox,Natalie Loftus,
19,BCB,4,12_may_2024,14:40,16:30,Back Cook's Bay,-17.503769,-149.819111,-17.502995,-149.818688,82,0,4,0,0,4,0,0,8,0.500,0.000,0.000,0.500,0.000,0.000,Porites lobata,159,18,20,15,44,177,27,0,0,0,0,0,0,0,27,0,0,432.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,216.000,0.000,0.000,0.460,0.585,0.560,4.298,5.270,4.578,0.009964,0.002335,0.001487,0.005632,0.011444,0.001513,0.003489,0.006575,-2102,1.5,2.1,1.4,0.2,1.3,2.1,0.2,,,,,,,,,,,,,,,,,,,,,,,Ellie Fox,Natalie Loftus,
